Invoice ID,Branch,City,Customer Type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,Rating
INV-00000,C,Mandalay,Member,Female,Health and beauty,87.7,6,26.31,552.51,2022-07-15,Credit card,4.4
INV-00001,A,Mandalay,Member,Male,Electronic accessories,56.72,7,19.85,416.89,2022-10-01,Credit card,5.2
INV-00002,C,Naypyitaw,Member,Female,Sports and travel,53.13,3,7.97,167.36,2022-07-20,Ewallet,6.3
INV-00003,C,Mandalay,Member,Female,Food and beverages,12.31,7,4.31,90.48,2023-01-04,Cash,9.9
INV-00004,A,Yangon,Normal,Male,Home and lifestyle,40.71,8,16.28,341.96,2022-10-12,Ewallet,8.7
INV-00005,A,Yangon,Member,Female,Fashion accessories,44.22,6,13.27,278.59,2022-03-18,Ewallet,8.4
INV-00006,C,Yangon,Normal,Male,Home and lifestyle,45.89,9,20.65,433.66,2022-02-28,Credit card,4.7
INV-00007,B,Naypyitaw,Normal,Male,Fashion accessories,62.22,6,18.67,391.99,2023-03-07,Cash,8.7
INV-00008,C,Mandalay,Member,Female,Electronic accessories,58.02,9,26.11,548.29,2022-05-06,Credit card,8.7
INV-00009,C,Yangon,Normal,Male,Health and beauty,64.71,4,12.94,271.78,2023-05-15,Cash,7.6
INV-00010,C,Naypyitaw,Normal,Female,Electronic accessories,78.84,8,31.54,662.26,2023-02-05,Ewallet,9.9
INV-00011,C,Mandalay,Normal,Female,Sports and travel,83.17,4,16.63,349.31,2022-04-19,Cash,6.0
INV-00012,A,Naypyitaw,Normal,Male,Sports and travel,74.63,2,7.46,156.72,2022-08-12,Credit card,9.6
INV-00013,C,Yangon,Member,Male,Fashion accessories,96.0,9,43.2,907.2,2023-05-11,Credit card,9.5
INV-00014,B,Yangon,Normal,Male,Food and beverages,11.64,5,2.91,61.11,2022-10-05,Credit card,4.1
INV-00015,A,Yangon,Member,Male,Food and beverages,27.62,4,5.52,116.0,2022-03-09,Cash,6.7
INV-00016,B,Naypyitaw,Normal,Female,Fashion accessories,10.68,2,1.07,22.43,2022-03-10,Ewallet,9.9
INV-00017,B,Naypyitaw,Normal,Female,Sports and travel,68.27,1,3.41,71.68,2022-06-14,Ewallet,4.6
INV-00018,B,Yangon,Member,Male,Sports and travel,90.82,7,31.79,667.53,2023-05-04,Cash,7.3
INV-00019,B,Naypyitaw,Normal,Female,Sports and travel,31.91,6,9.57,201.03,2022-11-01,Credit card,9.9
INV-00020,A,Yangon,Normal,Female,Electronic accessories,93.43,2,9.34,196.2,2023-02-01,Ewallet,7.3
INV-00021,A,Yangon,Normal,Female,Sports and travel,15.42,8,6.17,129.53,2022-06-11,Credit card,5.1
INV-00022,B,Mandalay,Member,Female,Home and lifestyle,94.1,4,18.82,395.22,2022-12-31,Cash,7.5
INV-00023,B,Naypyitaw,Normal,Male,Health and beauty,41.65,8,16.66,349.86,2022-12-08,Credit card,5.2
INV-00024,A,Yangon,Member,Male,Sports and travel,19.13,7,6.7,140.61,2022-11-05,Ewallet,7.1
INV-00025,A,Yangon,Normal,Female,Fashion accessories,53.73,5,13.43,282.08,2023-01-14,Ewallet,4.4
INV-00026,A,Naypyitaw,Member,Male,Health and beauty,33.11,8,13.24,278.12,2022-12-09,Credit card,7.6
INV-00027,C,Mandalay,Member,Male,Electronic accessories,35.64,9,16.04,336.8,2023-03-11,Cash,7.1
INV-00028,C,Mandalay,Normal,Male,Fashion accessories,37.66,5,9.41,197.72,2023-01-22,Credit card,8.4
INV-00029,C,Yangon,Normal,Female,Health and beauty,82.27,5,20.57,431.92,2022-02-11,Cash,7.8
INV-00030,B,Naypyitaw,Member,Female,Fashion accessories,58.52,2,5.85,122.89,2022-12-20,Credit card,7.3
INV-00031,C,Mandalay,Member,Female,Electronic accessories,38.02,5,9.51,199.6,2023-02-20,Ewallet,8.1
INV-00032,B,Naypyitaw,Normal,Male,Home and lifestyle,64.93,3,9.74,204.53,2022-04-19,Cash,4.9
INV-00033,B,Naypyitaw,Member,Female,Electronic accessories,74.45,7,26.06,547.21,2022-02-20,Cash,7.6
INV-00034,C,Yangon,Normal,Female,Electronic accessories,34.54,5,8.64,181.34,2022-09-07,Cash,5.0
INV-00035,B,Mandalay,Normal,Male,Fashion accessories,47.22,8,18.89,396.65,2023-05-12,Ewallet,9.6
INV-00036,C,Yangon,Normal,Female,Food and beverages,20.97,1,1.05,22.02,2022-12-07,Credit card,4.4
INV-00037,C,Mandalay,Normal,Female,Sports and travel,26.3,3,3.94,82.85,2023-03-06,Ewallet,6.6
INV-00038,A,Mandalay,Member,Male,Sports and travel,71.3,3,10.7,224.6,2023-01-18,Cash,8.2
INV-00039,C,Mandalay,Normal,Male,Home and lifestyle,26.33,9,11.85,248.82,2023-05-07,Credit card,6.7
INV-00040,A,Mandalay,Member,Male,Home and lifestyle,57.26,5,14.32,300.62,2022-01-21,Ewallet,4.6
INV-00041,C,Mandalay,Normal,Female,Sports and travel,73.81,9,33.21,697.5,2022-10-27,Cash,7.3
INV-00042,C,Naypyitaw,Member,Female,Food and beverages,19.62,9,8.83,185.41,2022-05-19,Cash,7.8
INV-00043,A,Yangon,Normal,Female,Sports and travel,61.06,1,3.05,64.11,2022-12-25,Ewallet,8.2
INV-00044,A,Naypyitaw,Member,Male,Food and beverages,33.09,2,3.31,69.49,2022-11-20,Ewallet,6.2
INV-00045,C,Mandalay,Member,Male,Home and lifestyle,96.66,5,24.16,507.46,2023-05-14,Ewallet,7.4
INV-00046,B,Yangon,Normal,Female,Health and beauty,53.52,4,10.7,224.78,2023-01-20,Cash,6.7
INV-00047,A,Mandalay,Normal,Female,Fashion accessories,82.54,9,37.14,780.0,2022-04-02,Ewallet,8.0
INV-00048,B,Yangon,Normal,Male,Home and lifestyle,59.52,7,20.83,437.47,2023-03-23,Cash,7.5
INV-00049,B,Naypyitaw,Normal,Male,Home and lifestyle,13.91,6,4.17,87.63,2022-10-07,Ewallet,7.2
INV-00050,B,Yangon,Member,Male,Electronic accessories,66.98,7,23.44,492.3,2022-05-05,Cash,5.5
INV-00051,A,Yangon,Normal,Male,Electronic accessories,95.63,1,4.78,100.41,2023-04-28,Cash,4.0
INV-00052,B,Yangon,Member,Female,Electronic accessories,64.15,1,3.21,67.36,2023-02-01,Credit card,5.0
INV-00053,A,Yangon,Member,Male,Fashion accessories,83.73,8,33.49,703.33,2022-04-21,Ewallet,4.7
INV-00054,B,Yangon,Normal,Female,Electronic accessories,89.58,2,8.96,188.12,2022-12-20,Ewallet,6.7
INV-00055,C,Mandalay,Member,Female,Food and beverages,30.53,9,13.74,288.51,2022-05-19,Cash,7.7
INV-00056,C,Yangon,Member,Female,Sports and travel,29.08,7,10.18,213.74,2023-04-29,Cash,5.3
INV-00057,A,Yangon,Member,Male,Health and beauty,64.99,6,19.5,409.44,2023-03-11,Cash,9.6
INV-00058,C,Naypyitaw,Member,Male,Home and lifestyle,46.99,1,2.35,49.34,2022-09-30,Credit card,4.0
INV-00059,C,Yangon,Normal,Male,Food and beverages,85.59,1,4.28,89.87,2022-04-09,Credit card,8.6
INV-00060,B,Naypyitaw,Normal,Male,Health and beauty,91.0,2,9.1,191.1,2022-09-09,Cash,7.8
INV-00061,A,Mandalay,Normal,Female,Food and beverages,41.81,6,12.54,263.4,2022-12-04,Ewallet,6.2
INV-00062,B,Yangon,Normal,Male,Food and beverages,31.32,6,9.4,197.32,2022-04-14,Ewallet,4.3
INV-00063,B,Naypyitaw,Member,Male,Home and lifestyle,80.25,2,8.02,168.52,2022-08-02,Credit card,7.8
INV-00064,B,Naypyitaw,Member,Female,Sports and travel,34.73,1,1.74,36.47,2022-09-06,Credit card,6.3
INV-00065,B,Mandalay,Normal,Male,Electronic accessories,84.04,5,21.01,441.21,2022-06-01,Cash,9.6
INV-00066,B,Yangon,Normal,Female,Fashion accessories,48.14,5,12.04,252.74,2022-09-07,Ewallet,7.3
INV-00067,B,Yangon,Normal,Female,Sports and travel,70.08,2,7.01,147.17,2022-10-02,Cash,9.6
INV-00068,B,Naypyitaw,Member,Female,Fashion accessories,18.6,6,5.58,117.18,2022-06-14,Credit card,5.3
INV-00069,A,Yangon,Normal,Female,Home and lifestyle,66.15,9,29.77,625.12,2023-05-02,Ewallet,8.4
INV-00070,C,Naypyitaw,Normal,Female,Home and lifestyle,50.66,2,5.07,106.39,2022-12-07,Ewallet,7.7
INV-00071,B,Yangon,Normal,Female,Home and lifestyle,62.79,2,6.28,131.86,2022-01-08,Credit card,8.4
INV-00072,B,Naypyitaw,Member,Female,Health and beauty,25.12,3,3.77,79.13,2022-10-11,Cash,5.3
INV-00073,B,Yangon,Member,Female,Fashion accessories,76.32,7,26.71,560.95,2022-01-05,Cash,8.0
INV-00074,B,Mandalay,Member,Male,Sports and travel,87.65,6,26.3,552.2,2022-05-25,Ewallet,7.0
INV-00075,B,Yangon,Member,Male,Sports and travel,29.51,8,11.8,247.88,2022-04-11,Credit card,8.5
INV-00076,B,Yangon,Member,Male,Food and beverages,18.61,8,7.44,156.32,2022-06-13,Ewallet,6.0
INV-00077,C,Mandalay,Member,Male,Food and beverages,12.13,6,3.64,76.42,2023-01-09,Credit card,9.3
INV-00078,C,Yangon,Member,Female,Food and beverages,67.78,3,10.17,213.51,2022-05-27,Cash,4.5
INV-00079,B,Mandalay,Member,Male,Home and lifestyle,64.64,3,9.7,203.62,2022-03-05,Credit card,8.8
INV-00080,C,Yangon,Normal,Female,Sports and travel,59.2,1,2.96,62.16,2022-04-01,Cash,9.2
INV-00081,A,Naypyitaw,Normal,Male,Fashion accessories,30.88,7,10.81,226.97,2022-04-27,Credit card,8.9
INV-00082,B,Naypyitaw,Member,Male,Home and lifestyle,45.18,5,11.3,237.2,2022-12-20,Ewallet,7.1
INV-00083,A,Yangon,Member,Male,Health and beauty,63.5,4,12.7,266.7,2022-09-24,Cash,6.6
INV-00084,A,Yangon,Normal,Female,Food and beverages,54.71,4,10.94,229.78,2022-11-06,Ewallet,10.0
INV-00085,B,Yangon,Member,Male,Home and lifestyle,98.9,4,19.78,415.38,2022-06-22,Ewallet,5.4
INV-00086,C,Naypyitaw,Member,Female,Home and lifestyle,22.28,6,6.68,140.36,2022-02-16,Cash,7.3
INV-00087,A,Yangon,Member,Female,Health and beauty,72.56,8,29.02,609.5,2022-05-20,Cash,8.0
